Type,Region,Residence _School Type,Service_Type,Year,Coverage,School_age _population,Service_level
sdg,Australia and New Zealand,secondary,Hygiene,2005,0,0,Insufficient data
sdg,Australia and New Zealand,urban,Hygiene,2005,100,4009571,Insufficient data
sdg,Australia and New Zealand,total,Hygiene,2005,0,0,Limited service
sdg,Australia and New Zealand,primary,Hygiene,2005,0,0,Limited service
sdg,Australia and New Zealand,secondary,Hygiene,2005,0,0,Limited service
sdg,Australia and New Zealand,total,Hygiene,2005,0,0,No service
sdg,Australia and New Zealand,primary,Hygiene,2005,0,0,No service
sdg,Australia and New Zealand,secondary,Hygiene,2005,0,0,No service
sdg,Australia and New Zealand,total,Sanitation,2005,100,4721657,Basic service
sdg,Australia and New Zealand,primary,Sanitation,2005,100,2237193,Basic service
sdg,Australia and New Zealand,secondary,Sanitation,2005,100,2116013,Basic service
sdg,Australia and New Zealand,total,Sanitation,2005,0,0,Insufficient data
sdg,Australia and New Zealand,pre_primary,Sanitation,2005,100,368451,Insufficient data
sdg,Australia and New Zealand,primary,Sanitation,2005,0,0,Insufficient data
sdg,Australia and New Zealand,rural,Sanitation,2005,100,712086,Insufficient data
sdg,Australia and New Zealand,secondary,Sanitation,2005,0,0,Insufficient data
sdg,Australia and New Zealand,urban,Sanitation,2005,100,4009571,Insufficient data
sdg,Australia and New Zealand,total,Sanitation,2005,0,0,Limited service
sdg,Australia and New Zealand,primary,Sanitation,2005,0,0,Limited service
sdg,Australia and New Zealand,secondary,Sanitation,2005,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2005,0,0,No service
sdg,Australia and New Zealand,primary,Sanitation,2005,0,0,No service
sdg,Australia and New Zealand,secondary,Sanitation,2005,0,0,No service
sdg,Australia and New Zealand,total,Hygiene,2006,100,4752025,Basic service
sdg,Australia and New Zealand,primary,Hygiene,2006,100,2227028,Basic service
sdg,Australia and New Zealand,secondary,Hygiene,2006,100,2154882,Basic service
sdg,Australia and New Zealand,total,Hygiene,2006,0,0,Insufficient data
sdg,Australia and New Zealand,pre_primary,Hygiene,2006,100,370115,Insufficient data
sdg,Australia and New Zealand,primary,Hygiene,2006,0,0,Insufficient data
sdg,Australia and New Zealand,rural,Hygiene,2006,100,711686,Insufficient data
sdg,Australia and New Zealand,secondary,Hygiene,2006,0,0,Insufficient data
sdg,Australia and New Zealand,urban,Hygiene,2006,100,4040339,Insufficient data
sdg,Australia and New Zealand,total,Hygiene,2006,0,0,Limited service
sdg,Australia and New Zealand,primary,Hygiene,2006,0,0,Limited service
sdg,Australia and New Zealand,secondary,Hygiene,2006,0,0,Limited service
sdg,Australia and New Zealand,total,Hygiene,2006,0,0,No service
sdg,Australia and New Zealand,primary,Hygiene,2006,0,0,No service
sdg,Australia and New Zealand,secondary,Hygiene,2006,0,0,No service
sdg,Australia and New Zealand,total,Sanitation,2006,100,4752025,Basic service
sdg,Australia and New Zealand,primary,Sanitation,2006,100,2227028,Basic service
sdg,Australia and New Zealand,secondary,Sanitation,2006,100,2154882,Basic service
sdg,Australia and New Zealand,total,Sanitation,2006,0,0,Insufficient data
sdg,Australia and New Zealand,pre_primary,Sanitation,2006,100,370115,Insufficient data
sdg,Australia and New Zealand,primary,Sanitation,2006,0,0,Insufficient data
